time,DeviceID,SumoEdgeID,LaneNO,Volume,Svolume,Mvolume,Lvolume
2026-05-05 13:13:23,VJES820,,4,12,6,0,6
2026-05-05 13:13:23,VJES820,,5,4,4,0,0
2026-05-05 13:13:23,VIGHK40,,0,50,40,10,0
2026-05-05 13:13:23,VIGHK40,,1,76,48,28,0
2026-05-05 13:13:23,VIGHK40,,2,4,0,0,4
2026-05-05 13:13:23,V1CRT60,,0,24,22,1,1
2026-05-05 13:13:23,V1CRT60,,1,28,27,1,0
2026-05-05 13:13:23,VSXTK20,,0,10,2,1,7
2026-05-05 13:13:23,VSXTK20,,1,20,6,10,4
2026-05-05 13:13:23,VHFHV00,,0,15,9,5,1
2026-05-05 13:13:23,VHFHV00,,1,19,12,1,6
2026-05-05 13:13:23,VM8PX60,,0,14,14,0,0
2026-05-05 13:13:23,VM8PX60,,1,22,19,3,0
2026-05-05 13:13:23,VM8PX60,,2,9,7,1,1
2026-05-05 13:13:23,VM8PX60,,3,28,15,13,0
2026-05-05 13:13:23,V1270E0,,0,88,82,6,0
2026-05-05 13:13:23,V1270E0,,1,92,72,20,0
2026-05-05 13:13:23,V1270E0,,2,46,38,8,0
2026-05-05 13:13:23,V5AAF61,,0,15,2,13,0
2026-05-05 13:13:23,V5AAF61,,1,28,18,7,3
2026-05-05 13:13:23,V5AAF61,,2,31,28,1,2
2026-05-05 13:13:23,V5AAF61,,3,27,24,2,1
2026-05-05 13:13:23,V5AAF60,,0,42,38,0,4
2026-05-05 13:13:23,V5AAF60,,1,50,48,0,2
2026-05-05 13:13:23,V5AAF60,,2,27,26,0,1
2026-05-05 13:13:23,V5AAF60,,3,27,26,0,1
2026-05-05 13:13:23,V5AAF60,,4,35,33,0,2
2026-05-05 13:13:23,V5AAF60,,5,18,16,1,1
2026-05-05 13:13:23,VI9S600,,0,1,0,1,0
2026-05-05 13:13:23,VI9S600,,1,11,7,0,4
2026-05-05 13:13:23,VI9S600,,2,49,30,19,0
2026-05-05 13:13:23,VI9S600,,3,42,19,23,0
2026-05-05 13:13:23,VI9S600,,4,0,0,0,0
2026-05-05 13:13:23,VI9S600,,5,0,0,0,0
2026-05-05 13:13:23,VHXS600,,0,21,14,6,1
2026-05-05 13:13:23,VHXS600,,1,35,18,16,1
2026-05-05 13:13:23,VHXS600,,2,40,20,17,3
2026-05-05 13:13:23,VMEJW40,,0,28,18,6,4
2026-05-05 13:13:23,VMEJW40,,1,47,28,17,2
2026-05-05 13:13:23,VMEJW40,,2,22,17,3,2
2026-05-05 13:13:23,VMEJW40,,3,34,14,14,6
2026-05-05 13:13:23,VLRIF60,,0,9,6,3,0
2026-05-05 13:13:23,VLRIF60,,1,45,33,10,2
2026-05-05 13:13:23,VLRIF60,,2,24,5,19,0
2026-05-05 13:13:23,VJQJI20,238526531#0,0,10,7,0,3
2026-05-05 13:13:23,VJQJI20,238526531#0,1,14,13,0,1
2026-05-05 13:13:23,VJQJI20,238526531#0,2,30,24,4,2
2026-05-05 13:13:23,VJQJI20,506322846#0,3,24,18,2,4
2026-05-05 13:13:23,VJQJI20,506322846#0,4,39,26,7,6
2026-05-05 13:13:23,VJQJI20,506322846#0,5,35,16,12,7
2026-05-05 13:13:23,V7010A0,,0,38,31,0,7
2026-05-05 13:13:23,V7010A0,,1,97,90,1,6
2026-05-05 13:13:23,V6150C0,,0,47,42,1,4
2026-05-05 13:13:23,V6150C0,,1,53,52,0,1
2026-05-05 13:13:23,V6150C1,,0,47,41,1,5
2026-05-05 13:13:23,V6150C1,,1,36,36,0,0
2026-05-05 13:13:23,VND3C20,,0,29,26,0,3
2026-05-05 13:13:23,VND3C20,,1,25,20,4,1
2026-05-05 13:13:23,VLAFP60,,0,97,55,29,13
2026-05-05 13:13:23,VLAFP60,,1,57,25,25,7
2026-05-05 13:13:23,VZKPR20,,0,5,4,0,1
2026-05-05 13:13:23,VZKPR20,,1,3,2,0,1
2026-05-05 13:13:23,VZKPR20,,2,12,12,0,0
